c2c4 g7g6 b1c3 f8g7 g2g3 c7c5 f1g2 d7d6 g1f3 b8c6 d2d3 d8d7 e2e4 b7b6 e1g1 c8b7 f3h4 e8c8 f2f4 c8b8 : .......37 moves, avg. D01, 001 counts/move
g1f3 d7d5 b2b3 c8g4 c1b2 g4f3 e2f3 b8d7 f3f4 e7e6 d1f3 g8f6 b1c3 g7g6 e1c1 f8g7 g2g4 e8g8 h2h4 h7h5 : .......36 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 d1d2 f8e7 e1c1 e8g8 f2f4 b7b5 a2a3 c8b7 : .......37 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 e7e6 c2c3 d7d5 e4e5 b8c6 d2d4 c8d7 a2a3 c5c4 g2g3 c6a5 b1d2 d8b6 f1h3 h7h6 e1g1 e8c8 : .......25 moves, avg. D01, 001 counts/move
d2d4 g8f6 g1f3 b7b6 c1g5 c8b7 b1d2 d7d5 e2e3 b8d7 f1d3 g7g6 d1e2 f8g7 e3e4 d5e4 d2e4 e8g8 e1c1 h7h6 : .......44 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 b7b6 g1h3 d8d7 h3f4 b8c6 f1e2 c8b7 e1g1 e8c8 c3a4 b4f8 c2c3 f7f6 : .......35 moves, avg. D01, 001 counts/move
e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 d2d3 f8g7 c1e3 d7d6 d1d2 g8f6 e3h6 e8g8 f1g2 g7h6 d2h6 c6d4 e1c1 a8b8 : .......37 moves, avg. D01, 001 counts/move
g2g3 g7g6 f1g2 f8g7 c2c4 e7e5 b1c3 b8c6 e2e3 d7d6 g1e2 g8e7 e1g1 h7h5 h2h4 c8g4 d2d3 d8d7 c3d5 e8c8 : .......33 moves, avg. D01, 001 counts/move
e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 g1f3 b8d7 f1c4 e7e6 d1e2 d8c7 e1g1 e8c8 c2c3 g8f6 : .......40 moves, avg. D01, 001 counts/move
e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 f1c4 b8d7 g1f3 e7e5 c1e3 h7h6 d1e2 g8e7 e1c1 e8g8 e2d2 g8h7 f3e1 e7c6 : .......36 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 b8c6 f1b5 d8b6 c2c4 a7a6 b5c6 d7c6 e1g1 c8g4 b2b3 e8c8 d1e2 e7e5 c1b2 f7f6 d2d3 g8e7 : .......30 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 e8g8 e2e4 c8g4 c1e3 f6d7 e1c1 d7b6 c4c5 e7e5 : .......49 moves, avg. D01, 001 counts/move
b2b3 e7e5 c1b2 d7d6 g2g3 g8f6 f1g2 g7g6 d2d4 e5e4 d4d5 d8e7 d1d4 f8g7 b1c3 e8g8 e1c1 e4e3 c3e4 b8d7 : .......42 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 e8g8 c1e3 d7d6 f2f3 e7e5 g1e2 c7c6 d1b3 b8a6 e1c1 d8c7 c1b1 e5d4 : .......41 moves, avg. D01, 001 counts/move
e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1g5 c7c6 d1d2 b7b5 f1d3 f8g7 f2f4 e8g8 g1f3 c8g4 e1c1 b5b4 c3e2 d6d5 : .......35 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 b7b6 f1d3 c8b7 d1d2 c7c5 d4d5 e7e6 e1c1 e6d5 : .......37 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6 a2a3 c5c4 g2g3 c8d7 f1g2 e8c8 e1g1 f7f6 f1e1 f6e5 : .......34 moves, avg. D01, 001 counts/move
e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 g8f6 e4f6 g7f6 g1f3 c8f5 f1d3 f5g4 d3e2 d8c7 e1g1 b8d7 c2c4 e8c8 : .......29 moves, avg. D01, 001 counts/move
