d2d4 h7h6 : ....1 196 moves, avg. D27, 116 counts/move
e2e3 a7a5 : ......265 moves, avg. D30, 107 counts/move
e2e3 a7a6 : ......196 moves, avg. D28, 103 counts/move
e2e3 b7b5 : ......512 moves, avg. D22, 114 counts/move
e2e3 b7b6 : ......306 moves, avg. D26, 104 counts/move
e2e3 c7c5 : ...73 937 moves, avg. D37, 108 counts/move
e2e3 c7c6 : 1 000 000 moves, avg. D90, 092 counts/move
e2e3 b8a6 : ......202 moves, avg. D33, 102 counts/move
e2e3 b8c6 : ......194 moves, avg. D23, 099 counts/move
e2e3 g8f6 : 1 000 000 moves, avg. D52, 087 counts/move
e2e3 g8h6 : ......191 moves, avg. D25, 100 counts/move
e2e3 d7d5 : 1 000 000 moves, avg. D31, 089 counts/move
e2e3 d7d6 : ......352 moves, avg. D31, 100 counts/move
e2e3 e7e5 : ...11 744 moves, avg. D38, 088 counts/move
e2e3 e7e6 : 1 000 000 moves, avg. D34, 085 counts/move
e2e3 f7f5 : ......301 moves, avg. D24, 108 counts/move
e2e3 f7f6 : ......201 moves, avg. D19, 092 counts/move
e2e3 g7g5 : ......576 moves, avg. D22, 114 counts/move
e2e3 g7g6 : ....1 677 moves, avg. D34, 104 counts/move
e2e3 h7h5 : ......192 moves, avg. D23, 100 counts/move
e2e3 h7h6 : ......192 moves, avg. D24, 102 counts/move
e2e4 a7a5 : ....2 526 moves, avg. D25, 118 counts/move
e2e4 a7a6 : 1 000 000 moves, avg. D31, 088 counts/move
e2e4 b7b5 : ......537 moves, avg. D22, 115 counts/move
e2e4 b7b6 : ....3 616 moves, avg. D29, 110 counts/move
e2e4 c7c5 : 1 000 000 moves, avg. D35, 068 counts/move
e2e4 c7c6 : 1 000 000 moves, avg. D31, 087 counts/move
e2e4 b8a6 : ....1 667 moves, avg. D25, 119 counts/move
e2e4 b8c6 : 1 000 000 moves, avg. D31, 079 counts/move
e2e4 g8f6 : 1 000 000 moves, avg. D33, 087 counts/move
e2e4 g8h6 : ....8 162 moves, avg. D25, 119 counts/move
e2e4 d7d5 : 1 000 000 moves, avg. D32, 087 counts/move
e2e4 d7d6 : 1 000 000 moves, avg. D37, 076 counts/move
e2e4 e7e5 : 1 000 000 moves, avg. D32, 076 counts/move
e2e4 e7e6 : 1 000 000 moves, avg. D32, 082 counts/move
e2e4 f7f5 : ....1 024 moves, avg. D23, 118 counts/move
e2e4 f7f6 : ......729 moves, avg. D23, 114 counts/move
e2e4 g7g5 : ....2 023 moves, avg. D23, 118 counts/move
e2e4 g7g6 : 1 000 000 moves, avg. D37, 079 counts/move
e2e4 h7h5 : ...19 106 moves, avg. D29, 092 counts/move
e2e4 h7h6 : ....1 021 moves, avg. D25, 115 counts/move
f2f3 a7a5 : ......330 moves, avg. D25, 112 counts/move
f2f3 a7a6 : ......155 moves, avg. D33, 122 counts/move
f2f3 b7b5 : ......261 moves, avg. D32, 109 counts/move
f2f3 b7b6 : ......341 moves, avg. D42, 112 counts/move
f2f3 c7c5 : ......161 moves, avg. D26, 122 counts/move
f2f3 c7c6 : ..530 606 moves, avg. D38, 101 counts/move
f2f3 b8a6 : ......416 moves, avg. D28, 114 counts/move
f2f3 b8c6 : ......294 moves, avg. D26, 123 counts/move
f2f3 g8f6 : ....2 943 moves, avg. D09, 121 counts/move
f2f3 g8h6 : ......183 moves, avg. D21, 105 counts/move
f2f3 d7d5 : ......360 moves, avg. D27, 109 counts/move
f2f3 d7d6 : ..710 797 moves, avg. D28, 102 counts/move
f2f3 e7e5 : ..208 201 moves, avg. D06, 121 counts/move
f2f3 e7e6 : ......278 moves, avg. D25, 113 counts/move
f2f3 f7f5 : ......294 moves, avg. D29, 110 counts/move
f2f3 f7f6 : ......484 moves, avg. D25, 116 counts/move
f2f3 g7g5 : ....2 659 moves, avg. D24, 119 counts/move
f2f3 g7g6 : ......457 moves, avg. D34, 115 counts/move
f2f3 h7h5 : ......320 moves, avg. D31, 108 counts/move
f2f3 h7h6 : .......86 moves, avg. D25, 090 counts/move
f2f4 a7a5 : ......337 moves, avg. D32, 108 counts/move
f2f4 a7a6 : ......205 moves, avg. D25, 103 counts/move
f2f4 b7b5 : ......155 moves, avg. D27, 101 counts/move
f2f4 b7b6 : ......246 moves, avg. D32, 102 counts/move
f2f4 c7c5 : ....6 829 moves, avg. D36, 101 counts/move
f2f4 c7c6 : ......252 moves, avg. D29, 109 counts/move
f2f4 b8a6 : ......186 moves, avg. D22, 102 counts/move
f2f4 b8c6 : ......827 moves, avg. D33, 114 counts/move
f2f4 g8f6 : ...36 169 moves, avg. D11, 120 counts/move
f2f4 g8h6 : ......223 moves, avg. D25, 105 counts/move
f2f4 d7d5 : ...28 377 moves, avg. D16, 116 counts/move
f2f4 d7d6 : ....2 789 moves, avg. D37, 094 counts/move
f2f4 e7e5 : ....2 443 moves, avg. D34, 095 counts/move
f2f4 e7e6 : ....1 137 moves, avg. D33, 109 counts/move
f2f4 f7f5 : ......315 moves, avg. D40, 109 counts/move
f2f4 f7f6 : ......153 moves, avg. D25, 123 counts/move
f2f4 g7g5 : ......528 moves, avg. D22, 116 counts/move
f2f4 g7g6 : ...10 586 moves, avg. D28, 106 counts/move
f2f4 h7h5 : ......155 moves, avg. D28, 122 counts/move
f2f4 h7h6 : ......302 moves, avg. D23, 107 counts/move
g2g3 a7a5 : ......192 moves, avg. D27, 101 counts/move
g2g3 a7a6 : ......194 moves, avg. D25, 100 counts/move
g2g3 b7b5 : ......189 moves, avg. D27, 103 counts/move
g2g3 b7b6 : ......290 moves, avg. D30, 112 counts/move
g2g3 c7c5 : 1 000 000 moves, avg. D38, 081 counts/move
g2g3 c7c6 : ...15 947 moves, avg. D23, 105 counts/move
g2g3 b8a6 : ......182 moves, avg. D25, 104 counts/move
g2g3 b8c6 : ...17 115 moves, avg. D24, 094 counts/move
g2g3 g8f6 : 1 000 000 moves, avg. D30, 074 counts/move
g2g3 g8h6 : ......209 moves, avg. D26, 108 counts/move
g2g3 d7d5 : 1 000 000 moves, avg. D26, 091 counts/move
g2g3 d7d6 : ......362 moves, avg. D28, 101 counts/move
g2g3 e7e5 : ..141 715 moves, avg. D14, 101 counts/move
g2g3 e7e6 : 1 000 000 moves, avg. D32, 071 counts/move
g2g3 f7f5 : 1 000 000 moves, avg. D35, 092 counts/move
g2g3 f7f6 : ......704 moves, avg. D24, 116 counts/move
g2g3 g7g5 : ......673 moves, avg. D25, 111 counts/move
g2g3 g7g6 : 1 000 000 moves, avg. D34, 086 counts/move
g2g3 h7h5 : ......493 moves, avg. D31, 116 counts/move
g2g3 h7h6 : ......183 moves, avg. D28, 105 counts/move
g2g4 a7a5 : ......181 moves, avg. D30, 106 counts/move
g2g4 a7a6 : ......305 moves, avg. D27, 113 counts/move
g2g4 b7b5 : ......123 moves, avg. D38, 119 counts/move
g2g4 b7b6 : ......238 moves, avg. D25, 105 counts/move
g2g4 c7c5 : ......215 moves, avg. D23, 107 counts/move
g2g4 c7c6 : ......522 moves, avg. D34, 123 counts/move
g2g4 b8a6 : ......183 moves, avg. D25, 107 counts/move
g2g4 b8c6 : ......316 moves, avg. D26, 104 counts/move
g2g4 g8f6 : ......331 moves, avg. D30, 113 counts/move
g2g4 g8h6 : ......173 moves, avg. D25, 093 counts/move
g2g4 d7d5 : 1 000 000 moves, avg. D22, 103 counts/move
g2g4 d7d6 : ......180 moves, avg. D24, 106 counts/move
g2g4 e7e5 : ..232 151 moves, avg. D26, 101 counts/move
g2g4 e7e6 : ......368 moves, avg. D30, 104 counts/move
g2g4 f7f5 : ......204 moves, avg. D24, 103 counts/move
g2g4 f7f6 : .......85 moves, avg. D45, 116 counts/move
g2g4 g7g5 : ......300 moves, avg. D35, 113 counts/move
g2g4 g7g6 : ......198 moves, avg. D26, 102 counts/move
g2g4 h7h5 : ......203 moves, avg. D29, 106 counts/move
g2g4 h7h6 : ......153 moves, avg. D30, 123 counts/move
h2h3 a7a5 : ......422 moves, avg. D28, 110 counts/move
h2h3 a7a6 : ......202 moves, avg. D25, 101 counts/move
h2h3 b7b5 : ......182 moves, avg. D25, 106 counts/move
h2h3 b7b6 : ......612 moves, avg. D27, 116 counts/move
h2h3 c7c5 : ......645 moves, avg. D30, 111 counts/move
h2h3 c7c6 : ......187 moves, avg. D29, 104 counts/move
h2h3 b8a6 : ......204 moves, avg. D24, 103 counts/move
h2h3 b8c6 : ......204 moves, avg. D27, 106 counts/move
h2h3 g8f6 : ....1 508 moves, avg. D32, 113 counts/move
h2h3 g8h6 : ......310 moves, avg. D24, 121 counts/move
h2h3 d7d5 : ....1 827 moves, avg. D32, 114 counts/move
h2h3 d7d6 : ......185 moves, avg. D28, 104 counts/move
h2h3 e7e5 : ...39 864 moves, avg. D12, 118 counts/move
h2h3 e7e6 : ......390 moves, avg. D34, 109 counts/move
h2h3 f7f5 : ......341 moves, avg. D32, 110 counts/move
h2h3 f7f6 : ......451 moves, avg. D23, 114 counts/move
h2h3 g7g5 : ......428 moves, avg. D22, 107 counts/move
h2h3 g7g6 : ......198 moves, avg. D29, 105 counts/move
h2h3 h7h5 : ......152 moves, avg. D26, 123 counts/move
h2h3 h7h6 : ......157 moves, avg. D31, 122 counts/move
h2h4 a7a5 : ......154 moves, avg. D32, 123 counts/move
h2h4 a7a6 : ......167 moves, avg. D34, 121 counts/move
h2h4 b7b5 : ......491 moves, avg. D27, 112 counts/move
h2h4 b7b6 : ......186 moves, avg. D22, 102 counts/move
h2h4 c7c5 : ......197 moves, avg. D29, 105 counts/move
h2h4 c7c6 : ......332 moves, avg. D39, 114 counts/move
h2h4 b8a6 : ......183 moves, avg. D26, 122 counts/move
h2h4 b8c6 : ......150 moves, avg. D34, 123 counts/move
