e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6                               : ....5 707 moves, avg. D14, 009 counts/move
c2c4 c7c5 g1f3 g8f6 b1c3 e7e6 d2d4 c5d4 f3d4 f8b4                               : .......32 moves, avg. D01, 001 counts/move
g1f3 d7d5 d2d4 e7e6 g2g3 c7c5 f1g2 c5d4 f3d4 g8f6                               : ......174 moves, avg. D25, 037 counts/move
g1f3 c7c5 c2c4 b8c6 e2e3 e7e6 d2d4 d7d5 d4c5 f8c5                               : .......90 moves, avg. D17, 013 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 d1d4 g8f6 b1c3 b8c6                               : ......154 moves, avg. D29, 041 counts/move
e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 d4c6 b7c6                               : ......209 moves, avg. D26, 008 counts/move
d2d4 d7d5 g1f3 e7e6 c2c4 c7c6 b1c3 d5c4 a2a4 f8b4                               : ....2 245 moves, avg. D31, 027 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 e8g8 d1c2 d7d5                               : .......43 moves, avg. D04, 005 counts/move
d2d4 d7d5 e2e3 c8f5 g1f3 e7e6 f1d3 f5d3 d1d3 b8c6                               : .......41 moves, avg. D01, 001 counts/move
e2e4 c7c5 b1c3 g7g6 g1f3 b8c6 d2d4 c5d4 f3d4 f8g7                               : ...13 034 moves, avg. D36, 031 counts/move
g1f3 c7c5 c2c4 b8c6 b1c3 g8f6 g2g3 d7d6 f1g2 e7e5                               : ......260 moves, avg. D28, 018 counts/move
e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 g8f6 g1f3 e7e6                               : ......498 moves, avg. D31, 007 counts/move
e2e4 c7c5 b1c3 b8c6 g1f3 e7e5 f1c4 f8e7 d2d3 d7d6                               : ......114 moves, avg. D21, 011 counts/move
c2c4 e7e6 d2d4 d7d5 b1c3 c7c6 e2e4 d5e4 c3e4 f8b4                               : ...13 489 moves, avg. D45, 063 counts/move
e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 f1d3 b8c6 c2c3 g8f6                               : ......114 moves, avg. D17, 003 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6                               : ......149 moves, avg. D24, 009 counts/move
d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 a7a6 c4d5 c6d5                               : ......126 moves, avg. D27, 027 counts/move
c2c4 c7c6 e2e4 d7d5 e4d5 c6d5 d2d4 g8f6 b1c3 e7e6                               : .......41 moves, avg. D02, 003 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 b8d7                               : .......97 moves, avg. D18, 008 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 e2e4 d7d6                               : .......33 moves, avg. D04, 006 counts/move
g1f3 g8f6 d2d4 d7d5 c1f4 c8f5 e2e3 e7e6 f1d3 f8d6                               : ......131 moves, avg. D27, 013 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8                               : ....7 231 moves, avg. D35, 027 counts/move
g1f3 d7d5 e2e3 g8f6 d2d4 e7e6 f1d3 c7c5 c2c3 b7b6                               : .......40 moves, avg. D01, 001 counts/move
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 d7d5 c4d5 f6d5                               : ......875 moves, avg. D32, 025 counts/move
