d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 a7a6 c4c5                                                                                                               : .......28 moves, avg. D01, 001 counts/move
d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6                                                                                                                    : .......33 moves, avg. D01, 001 counts/move
e2e4 d7d6 d2d4 g8f6 b1c3 e7e5 g1f3 b8d7 f1c4 f8e7 e1g1 e8g8                                                                                                : .......45 moves, avg. D05, 014 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d5 d1b3 d5c4 b3c4                                                                                                     : .......36 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 f6d7 f2f3 f7f5 e1d3 d7f6                                              : .......35 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 d8a5                                                                                                : .......32 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 c1g5 h7h6 g5h4 d5c4 e2e4 g7g5 h4g3 b7b5 f3e5 c8b7 h2h4 g5g4 f1e2 b8d7 e5d7 d8d7 g3e5 d7d8 a2a4                     : .......37 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 c1g5 h7h6 g5h4 d5c4 e2e4 g7g5 h4g3 b7b5 f3e5 c8b7 h2h4 g5g4 f1e2 h6h5                                              : .......42 moves, avg. D01, 001 counts/move
e2e4 e7e5 b1c3 g8f6 g2g3 f8c5 f1g2 b8c6 g1e2 e8g8 e1g1 a7a5 d2d3 d7d6 h2h3 h7h6 g1h2 c6d4                                                                  : .......30 moves, avg. D01, 001 counts/move
d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 b1c3 e7e6 f3h4 f5e4                                                                                                : .......36 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 c1e3 a7a6 f2f3                                                                                           : ......387 moves, avg. D34, 103 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 d8b6 d1d2 b6b2 a1b1 b2a3 e4e5 h7h6 g5f6 g7f6                                              : .......44 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 d8b6 d1d2 b6b2 a1b1 b2a3 e4e5 d6e5 f4e5 h7h6 g5h4 g7g5 e5f6 g5h4                          : .......43 moves, avg. D01, 001 counts/move
e2e4 c7c5 b1c3 d7d6 g1e2 g8f6 g2g3                                                                                                                         : .......32 moves, avg. D01, 001 counts/move
e2e4 c7c5 f2f4 b8c6                                                                                                                                        : .......30 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 d4c6 b7c6                                                                                                          : .......40 moves, avg. D02, 004 counts/move
e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5                                                                                                                    : .......42 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 f8c5                                                                                                : .......41 moves, avg. D03, 007 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d6 h2h3 c6a5 b3c2 c7c5 d2d4 f6d7                                              : .......35 moves, avg. D01, 001 counts/move
d2d4 g8f6 c1g5 d7d5                                                                                                                                        : ......289 moves, avg. D29, 097 counts/move
d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 g1f3 b8d7 e2e3 g8f6 d1c2 f8d6 c1d2 e8g8 e1c1                                                                                 : .......37 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5                                                                                                                    : .......30 moves, avg. D01, 001 counts/move
g1f3 d7d5 d2d4 g8f6 c2c4 c7c6 b1c3 d5c4 a2a4 e7e6 e2e3                                                                                                     : .......35 moves, avg. D01, 001 counts/move
