e2e3 f7f6 : .......30 moves, avg. D01, 001 counts/move
e2e3 g7g5 : .......30 moves, avg. D01, 001 counts/move
e2e3 g7g6 : ....2 600 moves, avg. D41, 015 counts/move
e2e3 h7h5 : .......30 moves, avg. D01, 001 counts/move
e2e3 h7h6 : .......30 moves, avg. D01, 001 counts/move
e2e4 a7a5 : .......31 moves, avg. D01, 001 counts/move
e2e4 a7a6 : ......243 moves, avg. D36, 014 counts/move
e2e4 b7b5 : .......36 moves, avg. D06, 002 counts/move
e2e4 b7b6 : ....3 233 moves, avg. D36, 020 counts/move
e2e4 c7c5 : 1 000 000 moves, avg. D34, 031 counts/move
e2e4 c7c6 : ..485 586 moves, avg. D43, 020 counts/move
e2e4 b8a6 : .......30 moves, avg. D01, 001 counts/move
e2e4 b8c6 : 1 000 000 moves, avg. D35, 035 counts/move
e2e4 g8f6 : 1 000 000 moves, avg. D41, 023 counts/move
e2e4 g8h6 : .......65 moves, avg. D17, 013 counts/move
e2e4 d7d5 : ...55 917 moves, avg. D36, 025 counts/move
e2e4 d7d6 : ..314 118 moves, avg. D38, 020 counts/move
e2e4 e7e5 : 1 000 000 moves, avg. D35, 034 counts/move
e2e4 e7e6 : 1 000 000 moves, avg. D36, 046 counts/move
e2e4 f7f5 : ......353 moves, avg. D30, 013 counts/move
e2e4 f7f6 : .......37 moves, avg. D13, 002 counts/move
e2e4 g7g5 : .......30 moves, avg. D01, 001 counts/move
e2e4 g7g6 : ..515 196 moves, avg. D39, 020 counts/move
e2e4 h7h5 : .......30 moves, avg. D01, 001 counts/move
e2e4 h7h6 : .......30 moves, avg. D01, 001 counts/move
f2f3 a7a5 : .......19 moves, avg. D01, 001 counts/move
f2f3 a7a6 : .......19 moves, avg. D01, 001 counts/move
f2f3 b7b5 : .......19 moves, avg. D01, 001 counts/move
f2f3 b7b6 : .......19 moves, avg. D01, 001 counts/move
f2f3 c7c5 : .......19 moves, avg. D01, 001 counts/move
f2f3 c7c6 : .......19 moves, avg. D01, 001 counts/move
f2f3 b8a6 : .......19 moves, avg. D01, 001 counts/move
f2f3 b8c6 : .......19 moves, avg. D01, 001 counts/move
f2f3 g8f6 : .......19 moves, avg. D01, 001 counts/move
f2f3 g8h6 : .......19 moves, avg. D01, 001 counts/move
f2f3 d7d5 : .......19 moves, avg. D01, 001 counts/move
f2f3 d7d6 : .......19 moves, avg. D01, 001 counts/move
f2f3 e7e5 : .......24 moves, avg. D04, 002 counts/move
f2f3 e7e6 : .......19 moves, avg. D01, 001 counts/move
f2f3 f7f5 : .......19 moves, avg. D01, 001 counts/move
f2f3 f7f6 : .......19 moves, avg. D01, 001 counts/move
f2f3 g7g5 : .......19 moves, avg. D01, 001 counts/move
f2f3 g7g6 : .......19 moves, avg. D01, 001 counts/move
f2f3 h7h5 : .......19 moves, avg. D01, 001 counts/move
f2f3 h7h6 : .......19 moves, avg. D01, 001 counts/move
f2f4 a7a5 : .......20 moves, avg. D01, 001 counts/move
f2f4 a7a6 : .......20 moves, avg. D02, 002 counts/move
f2f4 b7b5 : .......20 moves, avg. D01, 001 counts/move
f2f4 b7b6 : .......20 moves, avg. D01, 001 counts/move
f2f4 c7c5 : ......763 moves, avg. D34, 014 counts/move
f2f4 c7c6 : .......89 moves, avg. D23, 017 counts/move
f2f4 b8a6 : .......20 moves, avg. D01, 001 counts/move
f2f4 b8c6 : .......20 moves, avg. D01, 001 counts/move
f2f4 g8f6 : ....7 517 moves, avg. D43, 017 counts/move
f2f4 g8h6 : .......66 moves, avg. D17, 013 counts/move
f2f4 d7d5 : ....8 532 moves, avg. D42, 018 counts/move
f2f4 d7d6 : .......20 moves, avg. D01, 001 counts/move
f2f4 e7e5 : ....4 540 moves, avg. D29, 013 counts/move
