e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 b5c6 d7c6 d2d3 f8g7 h2h3 g8f6 b1c3 f6d7 c1e3 e7e5 d1d2 h7h6 e1g1 d8e7 : .......39 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d8c7 c2c4 g8f6 b1c3 e7e6 f1e2 c6d4 d1d4 f8c5 d4d3 e8g8 e1g1 b7b6 : .......39 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 e7e6 b1c3 a7a6 d2d4 c5d4 f3d4 d8c7 f1d3 b8c6 d4c6 b7c6 d1e2 c8b7 e1g1 f8e7 e4e5 f7f5 : .......39 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e6 b1c3 g8f6 d4c6 b7c6 e4e5 f6d5 c3e4 c6c5 c2c4 d5b4 f1d3 d8c7 : .......40 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 c1e3 a7a6 d1d2 g8f6 e1c1 f8e7 f2f4 b7b5 e4e5 b5b4 : .......53 moves, avg. D10, 021 counts/move
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 c1e3 a7a6 d1d2 g8f6 e1c1 f8b4 f2f3 c6e5 d4b3 b7b5 : .......40 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 d4c6 b7c6 g5f4 d6d5 : ......184 moves, avg. D32, 030 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 h7h5 d1d2 a7a6 f1e2 b8d7 e1g1 h5h4 : .......43 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 f6g4 e3c1 g4f6 f1d3 g7g6 f2f3 e7e5 d4b3 c8e6 : .......36 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e6 f2f3 b7b5 d1d2 b8d7 e1c1 c8b7 g2g4 d7b6 : .......94 moves, avg. D21, 072 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 h2h3 b8d7 g2g4 h7h6 d1d2 a8c8 : .......44 moves, avg. D01, 001 counts/move
