e2e3 c7c6 : .......30 moves, avg. D01, 001 counts/move
e2e3 b8a6 : .......30 moves, avg. D01, 001 counts/move
e2e3 b8c6 : .......30 moves, avg. D01, 001 counts/move
e2e3 g8f6 : .......31 moves, avg. D02, 005 counts/move
e2e3 g8h6 : .......30 moves, avg. D01, 001 counts/move
e2e3 d7d5 : ......115 moves, avg. D32, 089 counts/move
e2e3 d7d6 : .......30 moves, avg. D01, 001 counts/move
e2e3 e7e5 : ......160 moves, avg. D29, 085 counts/move
e2e3 e7e6 : .......37 moves, avg. D06, 023 counts/move
e2e3 f7f5 : .......30 moves, avg. D01, 001 counts/move
e2e3 f7f6 : .......30 moves, avg. D01, 001 counts/move
e2e3 g7g5 : .......30 moves, avg. D01, 001 counts/move
e2e3 g7g6 : .......30 moves, avg. D01, 001 counts/move
e2e3 h7h5 : .......30 moves, avg. D01, 001 counts/move
e2e3 h7h6 : .......30 moves, avg. D01, 001 counts/move
e2e4 a7a5 : .......30 moves, avg. D01, 001 counts/move
e2e4 a7a6 : .......30 moves, avg. D01, 001 counts/move
e2e4 b7b5 : .......29 moves, avg. D01, 001 counts/move
e2e4 b7b6 : .......30 moves, avg. D01, 001 counts/move
e2e4 c7c5 : ......788 moves, avg. D42, 106 counts/move
e2e4 c7c6 : .......31 moves, avg. D02, 005 counts/move
e2e4 b8a6 : .......30 moves, avg. D01, 001 counts/move
e2e4 b8c6 : .......31 moves, avg. D02, 005 counts/move
e2e4 g8f6 : .......30 moves, avg. D01, 001 counts/move
e2e4 g8h6 : .......30 moves, avg. D01, 001 counts/move
e2e4 d7d5 : .......31 moves, avg. D01, 001 counts/move
e2e4 d7d6 : .......31 moves, avg. D02, 005 counts/move
e2e4 e7e5 : ..245 604 moves, avg. D40, 116 counts/move
e2e4 e7e6 : .......41 moves, avg. D07, 022 counts/move
e2e4 f7f5 : .......31 moves, avg. D01, 001 counts/move
e2e4 f7f6 : .......30 moves, avg. D01, 001 counts/move
e2e4 g7g5 : .......30 moves, avg. D01, 001 counts/move
e2e4 g7g6 : .......30 moves, avg. D01, 001 counts/move
e2e4 h7h5 : ....1 162 moves, avg. D24, 089 counts/move
e2e4 h7h6 : .......30 moves, avg. D01, 001 counts/move
f2f3 a7a5 : .......19 moves, avg. D01, 001 counts/move
f2f3 a7a6 : .......19 moves, avg. D01, 001 counts/move
f2f3 b7b5 : .......19 moves, avg. D01, 001 counts/move
f2f3 b7b6 : .......19 moves, avg. D01, 001 counts/move
f2f3 c7c5 : .......19 moves, avg. D01, 001 counts/move
f2f3 c7c6 : .......19 moves, avg. D01, 001 counts/move
f2f3 b8a6 : .......19 moves, avg. D01, 001 counts/move
f2f3 b8c6 : .......19 moves, avg. D01, 001 counts/move
f2f3 g8f6 : .......19 moves, avg. D01, 001 counts/move
f2f3 g8h6 : .......19 moves, avg. D01, 001 counts/move
f2f3 d7d5 : .......19 moves, avg. D01, 001 counts/move
f2f3 d7d6 : .......19 moves, avg. D01, 001 counts/move
f2f3 e7e5 : ......685 moves, avg. D25, 089 counts/move
f2f3 e7e6 : .......19 moves, avg. D01, 001 counts/move
f2f3 f7f5 : .......19 moves, avg. D01, 001 counts/move
f2f3 f7f6 : .......19 moves, avg. D01, 001 counts/move
f2f3 g7g5 : .......19 moves, avg. D01, 001 counts/move
f2f3 g7g6 : .......19 moves, avg. D01, 001 counts/move
