e2e3 d7d6 : .......31 moves, avg. D02, 004 counts/move
e2e3 e7e5 : ...26 969 moves, avg. D35, 032 counts/move
e2e3 e7e6 : 1 000 000 moves, avg. D31, 030 counts/move
e2e3 f7f5 : .......31 moves, avg. D02, 005 counts/move
e2e3 f7f6 : .......30 moves, avg. D01, 001 counts/move
e2e3 g7g5 : .......30 moves, avg. D01, 001 counts/move
e2e3 g7g6 : ......400 moves, avg. D30, 012 counts/move
e2e3 h7h5 : .......30 moves, avg. D01, 001 counts/move
e2e3 h7h6 : .......30 moves, avg. D01, 001 counts/move
e2e4 a7a5 : .......31 moves, avg. D01, 001 counts/move
e2e4 a7a6 : .......31 moves, avg. D02, 004 counts/move
e2e4 b7b5 : .......34 moves, avg. D05, 001 counts/move
e2e4 b7b6 : ....2 177 moves, avg. D36, 023 counts/move
e2e4 c7c5 : 1 000 000 moves, avg. D33, 041 counts/move
e2e4 c7c6 : ...24 345 moves, avg. D32, 020 counts/move
e2e4 b8a6 : .......30 moves, avg. D01, 001 counts/move
e2e4 b8c6 : 1 000 000 moves, avg. D38, 056 counts/move
e2e4 g8f6 : ...13 038 moves, avg. D35, 022 counts/move
e2e4 g8h6 : .......65 moves, avg. D17, 013 counts/move
e2e4 d7d5 : ...20 022 moves, avg. D35, 032 counts/move
e2e4 d7d6 : ...12 743 moves, avg. D35, 016 counts/move
e2e4 e7e5 : 1 000 000 moves, avg. D38, 056 counts/move
e2e4 e7e6 : 1 000 000 moves, avg. D34, 067 counts/move
e2e4 f7f5 : .......31 moves, avg. D01, 001 counts/move
e2e4 f7f6 : .......30 moves, avg. D01, 001 counts/move
e2e4 g7g5 : .......30 moves, avg. D01, 001 counts/move
e2e4 g7g6 : ...28 151 moves, avg. D36, 022 counts/move
e2e4 h7h5 : .......30 moves, avg. D01, 001 counts/move
e2e4 h7h6 : .......30 moves, avg. D01, 001 counts/move
f2f3 a7a5 : .......19 moves, avg. D01, 001 counts/move
f2f3 a7a6 : .......19 moves, avg. D01, 001 counts/move
f2f3 b7b5 : .......19 moves, avg. D01, 001 counts/move
f2f3 b7b6 : .......19 moves, avg. D01, 001 counts/move
f2f3 c7c5 : .......19 moves, avg. D01, 001 counts/move
f2f3 c7c6 : .......19 moves, avg. D01, 001 counts/move
f2f3 b8a6 : .......19 moves, avg. D01, 001 counts/move
f2f3 b8c6 : .......19 moves, avg. D01, 001 counts/move
f2f3 g8f6 : .......19 moves, avg. D01, 001 counts/move
f2f3 g8h6 : .......19 moves, avg. D01, 001 counts/move
f2f3 d7d5 : .......19 moves, avg. D01, 001 counts/move
f2f3 d7d6 : .......19 moves, avg. D01, 001 counts/move
f2f3 e7e5 : .......19 moves, avg. D01, 001 counts/move
